"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Тест проверяет видимость элементов на странице Secondary Market (без текстового содержимого).

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
","44","Проверка видимости: catalog_title","tests.lk_tests.investment_tests.secondary_tests","2026-08-17","passed","2026-08-17","TestSecondaryPageVisible","test_elem_secondary","",""
"
Тест проверяет полный цикл регистрации нового пользователя до этапа верификации Sumsub.

1. Заполнить форму регистрации валидными данными
2. Нажать кнопку Agree & Create account
3. На странице проверки email ввести код 111111 и нажать Continue
4. На странице identity_intro выбрать Yes для PEP
5. Нажать Start verification
6. Проверить загрузку iframe Sumsub на странице identity
","6949","Регистрация нового пользователя с валидными данными","tests.auth_tests.reg_page_tests","2026-08-17","passed","2026-08-17","TestRegistrationTrue","test_registration","",""
"","71","Проверка видимости и текста: last_name","tests.lk_tests.personal_settings_tests","2026-08-17","passed","2026-08-17","TestPersonalSettingsPageVisible","test_elem_personal_settings","",""
"
Тест проверяет видимость и текст элементов сайдбара.

Для каждого элемента:
1.Дождаться загрузки сайдбара
2.Проверить видимость элемента
3.Проверить, что текст элемента соответствует ожидаемому
","41","Проверка видимости и текста: Имя пользователя","tests.sidebar_tests","2026-08-17","passed","2026-08-17","TestSidebarVisible","test_elem_sidebar","",""
"
Тест проверяет видимость и количество элементов страницы Deposit.

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
3. Проверить, что количество элементов соответствует ожидаемому
","55","Проверка видимости и количества: chat_bot (ожидается 1)","tests.lk_tests.deposit_withdraw_tests.deposit_tests","2026-08-17","passed","2026-08-17","TestDepositPageVisible","test_elem_deposit","",""
"
Тест проверяет количество элементов страницы проекта.

1. Дождаться загрузки страницы
2. Проверить количество элементов
","33","Проверка количества: Latest project subtitles (ожидается 4)","tests.lk_tests.project_tests","2026-08-17","passed","2026-08-17","TestElemProject","test_elem_project","",""
"
Тест проверяет количество элементов дашборда.

1.Дождаться загрузки страницы
2.Проверить количество элементов
3.Для progress-bar проверить что все имеют размеры
","34","Проверка количества: overview_statistics_values (ожидается 4)","tests.lk_tests.dashboard_tests","2026-08-17","passed","2026-08-17","TestDashboardPageVisible","test_elem_dashboard","",""
"","61","Проверка видимости и текста: notif_withdrawal","tests.lk_tests.personal_settings_tests","2026-08-17","passed","2026-08-17","TestPersonalSettingsPageVisible","test_elem_personal_settings","",""
"
Тест проверяет количество карточек в каждой вкладке статусов.

1. Получить ожидаемое количество из счётчика на вкладке
2. Кликнуть по вкладке и дождаться загрузки карточек
3. Пройти по всем страницам и сравнить фактическое количество с ожидаемым
","80646","Проверка категории: tab-status-all","tests.lk_tests.investment_tests.primary_tests","2026-08-17","passed","2026-08-17","TestPrimaryFilter1","test_primary_market_filter1","",""
"
Тест проверяет видимость и текст элементов страницы Deposit.

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
3. Проверить, что текст элемента соответствует ожидаемому
","103","Проверка видимости и текста: recent_all","tests.lk_tests.deposit_withdraw_tests.deposit_tests","2026-08-17","passed","2026-08-17","TestDepositPageVisible","test_elem_deposit","",""
"
Тест проверяет видимость и текст элементов страницы Withdraw.

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
3. Проверить, что текст элемента соответствует ожидаемому
","64","Проверка видимости и текста: step2_badge","tests.lk_tests.deposit_withdraw_tests.withdraw_tests","2026-08-17","passed","2026-08-17","TestWithdrawPageVisible","test_elem_withdraw","",""
"
Тест проверяет переход на страницу Rewards при клике на Start the guide → .

1. Кликнуть на кнопку Start the guide →
2. Проверить переход на /en/rewards
","1","Проверка перехода по кнопке Start the guide → ","tests.lk_tests.investment_tests.secondary_tests","2026-08-17","skipped","2026-08-17","TestSecondaryMarket","test_secondary_market","",""
"
Тест проверяет видимость и текст элементов вкладки Tax страницы Transactions.

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
3. Проверить, что текст элемента соответствует ожидаемому
","46","Проверка видимости и текста: tab_last_year","tests.lk_tests.transactions_tests","2026-08-17","passed","2026-08-17","TestTransactionsTaxPageVisible","test_elem_transactions_tax","",""
"
Тест проверяет фильтр ""Hide invested"".

1. Дождаться загрузки карточек
2. Включить фильтр Hide invested
3. Пройти по всем страницам и убедиться, что нет кнопок ""Add more""
4. Проверить, что количество карточек совпадает с заголовком
","29731","Проверка фильтра Hide invested","tests.lk_tests.investment_tests.primary_tests","2026-08-17","passed","2026-08-17","TestPrimaryFilter1","test_primary_market_filter1","",""
"","59","Проверка видимости и текста: postal_code","tests.lk_tests.personal_settings_tests","2026-08-17","passed","2026-08-17","TestPersonalSettingsPageVisible","test_elem_personal_settings","",""
"
Тест проверяет видимость и текст элементов вкладки Tax страницы Transactions.

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
3. Проверить, что текст элемента соответствует ожидаемому
","126","Проверка видимости и текста: tab_custom_range","tests.lk_tests.transactions_tests","2026-08-17","passed","2026-08-17","TestTransactionsTaxPageVisible","test_elem_transactions_tax","",""
"
Тест проверяет количество элементов страницы проекта.

1. Дождаться загрузки страницы
2. Проверить количество элементов
","15","Проверка количества: Latest project titles (ожидается 4)","tests.lk_tests.project_tests","2026-08-17","passed","2026-08-17","TestElemProject","test_elem_project","",""
"","25","Проверка видимости: input_password_input","tests.auth_tests.reg_page_tests","2026-08-17","passed","2026-08-17","TestRegistrationPageVisible","test_elem_registration_page","",""
"
Тест проверяет навигацию по элементам сайдбара.

Для каждого элемента:
1.Кликнуть по элементу
2.Дождаться перехода по URL
3.Проверить, что URL заканчивается на ожидаемый путь
","88","Проверка навигации: rewards","tests.sidebar_tests","2026-08-17","passed","2026-08-17","TestSidebarNav","test_sidebar_nav","",""
"","98","Проверка видимости и текста: password_label","tests.lk_tests.personal_settings_tests","2026-08-17","passed","2026-08-17","TestPersonalSettingsPageVisible","test_elem_personal_settings","",""
"","45","Проверка видимости и текста: hero_eyebrow","tests.lk_tests.refer_tests","2026-08-17","passed","2026-08-17","TestReferralsPageVisible","test_elem_refer","",""
"","79","Проверка видимости и текста: stats_earned_label","tests.lk_tests.refer_tests","2026-08-17","passed","2026-08-17","TestReferralsPageVisible","test_elem_refer","",""
"","77","Проверка видимости и текста: header_title","tests.lk_tests.portfolio_tests","2026-08-17","passed","2026-08-17","TestPortfolioCompletedPageVisible","test_elem_portfolio_completed","",""
"","481","Проверка видимости и текста: hero_title_accent","tests.lk_tests.refer_tests","2026-08-17","passed","2026-08-17","TestReferralsPageVisible","test_elem_refer","",""
"
Тест проверяет видимость и текст элементов страницы Rewards.

Для каждого элемента:
1. Дождаться загрузки страницы
2. Проверить видимость элемента
3. Проверить, что текст элемента соответствует ожидаемому
","62","Проверка видимости и текста: benefit_apr","tests.lk_tests.rewards_tests","2026-08-17","passed","2026-08-17","TestRewardsPageVisible","test_elem_rewards","",""
"","61","Проверка видимости и текста: channel_x","tests.lk_tests.refer_tests","2026-08-17","passed","2026-08-17","TestReferralsPageVisible","test_elem_refer","",""
